epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,0.013363830745220184,-1.2237053314844768,0.013363830745220184,1,582.0,30.0
1.0,0.0,0.013130607083439827,-1.271807869275411,0.013130607083439827,2,582.0,30.0
2.0,0.0,0.012880126014351845,-1.3768086036046345,0.012888436205685139,3,582.0,30.0
3.0,0.0,0.012769241817295551,-1.6721126635869343,0.012982957065105438,4,582.0,30.0
4.0,0.0,0.012769241817295551,-2.3720555305480957,0.013224015943706036,5,582.0,30.0
