epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,0.013342738151550293,-0.34069565931955975,0.013342738151550293,1,582.0,30.0
1.0,0.0,0.013091039843857288,-0.3664751450220744,0.013091039843857288,2,582.0,30.0
2.0,0.0,0.012759526260197163,-0.4508475065231323,0.0127695482224226,3,582.0,30.0
3.0,0.0,0.012608496472239494,-0.6452110211054484,0.01270971167832613,4,582.0,30.0
4.0,0.0,0.012565200217068195,-1.1116048097610474,0.012915355153381824,5,582.0,30.0
5.0,0.0,0.012565200217068195,-2.210321625073751,0.013254093937575817,6,582.0,30.0
0.0,1.0,0.017883285880088806,-2.3857437074184418,0.018904998898506165,7,819.0,43.0
1.0,1.0,0.017883285880088806,-5.387375831604004,0.02070249617099762,8,819.0,43.0
0.0,2.0,0.024864451959729195,-5.033730983734131,0.02803286351263523,9,976.0,51.0
1.0,2.0,0.024216385558247566,-8.544512867927551,0.027050603181123734,10,976.0,51.0
2.0,2.0,0.024216385558247566,-12.577343463897705,0.025074977427721024,11,976.0,51.0
